STDR_YM_CD,SUD_CD,APT_HSMP_CO,AE_66_SQMT_BELO_HSHLD_CO,AE_66_SQMT_HSHLD_CO,AE_99_SQMT_HSHLD_CO,AE_132_SQMT_HSHLD_CO,AE_165_SQMT_HSHLD_CO,PC_1_HDMIL_BELO_HSHLD_CO,PC_1_HDMIL_HSHLD_CO,PC_2_HDMIL_HSHLD_CO,PC_3_HDMIL_HSHLD_CO,PC_4_HDMIL_HSHLD_CO,PC_5_HDMIL_HSHLD_CO,PC_6_HDMIL_ABOVE_HSHLD_CO,AVRG_AE,AVRG_MKTC
201912,1123000001,1,0,0,39,0,0,0,0,28,11,0,0,0,115,297410256.410256410256410256410256410256
201912,1123000004,1,0,22,0,22,0,0,0,22,22,0,0,0,120,288090909.090909090909090909090909090909
201912,1123000005,1,269,0,0,0,0,215,54,0,0,0,0,0,15.87360594795539033457249070631970260223,99762081.78438661710037174721189591078067
201912,1123000007,2,11,0,0,0,0,6,5,0,0,0,0,0,67.4,208533333.333333333333333333333333333333
201912,1123000008,1,78,0,0,0,0,38,40,0,0,0,0,0,20.46153846153846153846153846153846153846,119166666.666666666666666666666666666667
201912,1123000012,1,0,146,0,0,0,0,0,0,146,0,0,0,85,381109589.041095890410958904109589041096
201912,1123000022,1,12,12,0,0,0,0,0,24,0,0,0,0,66,246333333.333333333333333333333333333333
201912,1123000027,1,1,7,0,0,0,0,8,0,0,0,0,0,74.875,173625000
201912,1123000034,1,18,12,0,0,0,0,6,24,0,0,0,0,60.6,234733333.333333333333333333333333333333
201912,1123000035,1,5,0,0,0,0,3,2,0,0,0,0,0,36,100600000
201912,1123000040,1,298,0,0,0,0,0,249,49,0,0,0,0,21.91610738255033557046979865771812080537,135721476.510067114093959731543624161074
201912,1123000042,1,6,0,0,0,0,2,4,0,0,0,0,0,36.5,94166666.66666666666666666666666666666667
201912,1123000047,1,5,0,0,0,0,1,4,0,0,0,0,0,51.8,130600000
201912,1123000049,1,0,0,96,0,0,0,0,0,0,0,4,92,122,654385416.666666666666666666666666666667
201912,1123000053,1,0,0,0,44,0,0,0,0,0,0,0,44,141,686363636.363636363636363636363636363636
201912,1123000054,2,25,3,0,0,0,0,16,12,0,0,0,0,172,538750000
201912,1123000055,1,36,30,0,0,0,0,0,66,0,0,0,0,66.18181818181818181818181818181818181818,241454545.454545454545454545454545454545
201912,1123000058,1,0,42,64,0,0,0,0,0,0,0,44,62,107.339622641509433962264150943396226415,620377358.490566037735849056603773584906
201912,1123000061,2,9,0,0,0,0,0,9,0,0,0,0,0,88.5,278666666.666666666666666666666666666667
