STDR_YM_CD,SUD_CD,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
202012,1123000001,2,,,,,1,,,,,,,,,,,,,,
202012,1123000002,1,,,,,,,,,,,,,,,,,,,
202012,1123000004,6,,1,,,1,,,,,,,,,,,,,,
202012,1123000005,1,,,,,,,,,,,,,,,,,,,1
202012,1123000006,1,,,,,,,,,,,,,,,,,,,
202012,1123000008,7,,1,,,1,,,,,,,,,,,,,,2
202012,1123000009,2,,,,,,,,,,,,,,,,,,,1
202012,1123000018,4,,,,,,,,,,,,,,,,,,,1
202012,1123000021,1,,,,,,,,,,,,,,,,,,,
202012,1123000022,1,,,,,,,,,,,,,,,,,,,1
202012,1123000026,1,,,,,,,,,,,,,,,,,,,
202012,1123000029,5,,1,,,1,,,,,,,,,,,,,,
202012,1123000036,3,,,,,,,,,,,,,,,,,,,
202012,1123000040,2,,,,,,,,,,,,,,,,,,,1
202012,1123000045,1,,,,,,,1,,,,,,,,,,,,
202012,1123000054,2,,,,,,,,,,,,,,,,,,,1
202012,1123000055,1,,,,,,,,,,,,,,,,,,,1
202012,1123000059,3,,,,,,,,,,,,,,,,,,,
202012,1123000074,1,,,,,,,,,,,,,,,,,,,1
202012,1123000078,6,,,,,,,,,,,,,,,,,,,1
202012,1123000081,2,,,,,,,,,,,,,,,,,,,
202012,1123000086,3,1,1,,,,,,,,,,,,,,,,,
202012,1123000087,3,,,,,1,,,,,,,,,,,,,,2
202012,1123000092,1,,,,,,,,,,,,,,,,,,,1
202012,1123000095,1,,,,,,,,,,,,,,,,,,,
202012,1123000109,1,,,,,,,,,,,,,,,,,,,
202012,1123000110,2,1,,,,,,,,,,,,,,,,,,
202012,1123000111,1,,,,,,,,,,,,,,,,,,,
202012,1123000114,1,,,,,,,,,,,,,,,,,,,
202012,1123000115,1,1,,,,,,,,,,,,,,,,,,
202012,1123000116,1,,,,,,,,,,,,,,,,,,,1
202012,1123000120,1,,,,,,,,,,,,,,,,,,,
202012,1123000122,1,,,,,1,,,,,,,,,,,,,,
202012,1123000127,1,,,,,,,,,,,,,,,,,,,1
202012,1123000128,1,,,,,,,,,,,,,,,,,,,1
202012,1123000131,2,,,,,,,,,,,,,,,,,,,
202012,1123000134,2,,,,,,,,,,,,,,,,,,,1
202012,1123000138,1,,,,,,,,,,,,,,,,,,,1
202012,1123000139,6,,,,,1,,,,,,,,,,,,,,
202012,1123000140,1,,,,,,,,,,,,,,,,,,,
202012,1123000142,3,,,,,,,,,,,,,,,,,,,1
202012,1123000148,1,,,,,,,,,,,,,,,,,,,
202012,1123000149,1,,,,,,,,,,,,,,,,,,,1
202012,1123000156,1,,,,,,,,,,,,,,,,,,,
202012,1123000160,1,,,,,,,,,,,,,,,,,,,
202012,1123000161,7,,,,,,,,,,,,,,,,,,,
202012,1123000167,2,,,,,1,,,,,,,,,,,,,,
202012,1123000168,1,,,,,,,1,,,,,,,,,,,,
202012,1123000171,2,,,,,,,,,,,,,,,,,,,1
202012,1123000172,1,,,,,,,,,,,,,,,,,,,
202012,1123000177,1,,,,,,,,,,,,,,,,,,,
202012,1123000183,3,,,,,,,,,,,,,,,,,,,
202012,1123000188,3,1,,,,,,,,,,,,,,,,,,1
202012,1123000192,1,,,,,,,,1,,,,,,,,,,,
202012,1123000194,1,,,,,,,,,,,,,,,,,,,
202012,1123000196,3,,1,,,,,,,,,,,,,,,,,1
202012,1123000199,2,,,,,,,,,,,,,,,,,,,
202012,1123000204,1,,,,,,,,,,,,,,,,,,,
202012,1123000206,1,,,,,,,,,,,,,,,,,,,
202012,1123000209,2,,,,,1,,,,,,,,,,,,,,
202012,1123000210,2,,,,,,,,,,,,,,,,,,,1
202012,1123000211,3,,1,,,,,,,,,,,,,,,,,1
202012,1123000216,1,,,,,,,,,,,,,,,,,,,1
202012,1123000221,7,,,,1,1,,,,,,,,,,,,,,2
202012,1123000228,5,1,,,,1,,,,,,,,,,,,,,1
202012,1123000230,1,,,,,,,,,,,,,,,,,,,
202012,1123000234,1,,,,,,,,,,,,1,,,,,,,
202012,1123000242,1,,,,,,,,,,,,,,,,,,,
202012,1123000247,4,,1,,,,,,,,,,,,,,,,,
202012,1123000250,1,,,,,1,,,,,,,,,,,,,,
202012,1123000254,7,,,,1,1,,,,,,,,,,,,,,1
202012,1123000259,1,,,,,,,,,,,,1,,,,,,,
202012,1123000264,3,2,,,,1,,,,,,,,,,,,,,
202012,1123000268,2,,,,,1,,,,,,,,,,,,,,
202012,1123000270,1,,,,,,,,,,,,1,,,,,,,
