STDR_YYQU_CD,SUD_CD,INCOME_SCTN_CD,MT_AVRG_INCOME_AMT,HSHLD_INCOME_TOTAMT,POPLTN_CO
20191,1123000001,07,3705271,188968839,51
20191,1123000003,04,1896899,7587595,4
20191,1123000004,08,3994614,151795347,38
20191,1123000005,07,3068413,435714698,142
20191,1123000006,06,2641795,26417948,10
20191,1123000007,05,2085916,75092977,36
20191,1123000008,07,3162322,300420597,95
20191,1123000009,05,2420062,36300927,15
20191,1123000010,05,2411360,33759038,14
20191,1123000011,05,2386143,21475288,9
20191,1123000012,07,3283538,551634465,168
20191,1123000013,05,2404740,40880576,17
20191,1123000014,05,2397337,62330764,26
20191,1123000015,04,2004086,16032691,8
20191,1123000016,04,1753755,47351374,27
20191,1123000017,05,2434894,48697883,20
20191,1123000019,05,2149015,66619453,31
20191,1123000020,05,2248322,51711408,23
20191,1123000021,05,2155182,38793267,18
20191,1123000022,04,1806755,36135094,20
20191,1123000023,06,2692635,26926346,10
20191,1123000024,06,2545901,40734421,16
20191,1123000025,05,2194095,57046470,26
20191,1123000026,05,2358565,101418296,43
20191,1123000027,04,1903996,51407882,27
20191,1123000028,05,2150274,49456312,23
20191,1123000029,04,1884783,33926087,18
20191,1123000030,05,2063560,26826281,13
20191,1123000031,05,2432350,7297051,3
20191,1123000032,05,2395985,45523715,19
20191,1123000033,05,2095015,43995317,21
20191,1123000034,05,2153095,34449517,16
20191,1123000035,05,2110103,135046566,64
20191,1123000037,05,2375090,59377241,25
20191,1123000038,05,2109687,27425927,13
20191,1123000039,03,1577185,17349037,11
20191,1123000040,07,3458022,1172269315,339
20191,1123000041,06,2576109,69554934,27
20191,1123000042,06,2520601,32767819,13
20191,1123000044,06,2912350,26211152,9
20191,1123000046,05,2051442,47183170,23
20191,1123000047,05,2178958,13073749,6
20191,1123000048,03,1609519,1609519,1
20191,1123000050,05,2282697,31957754,14
20191,1123000051,04,1773545,8867724,5
20191,1123000052,04,1944529,25278877,13
20191,1123000054,04,1979578,176182453,89
20191,1123000055,06,2625371,141770025,54
20191,1123000056,04,1916683,3833365,2
20191,1123000057,06,2978004,253130376,85
20191,1123000060,07,3612898,697289399,193
20191,1123000061,05,2364894,113514896,48
20191,1123000062,04,1885594,41483072,22
20191,1123000064,04,1857283,31573812,17
20191,1123000065,06,2444076,109983425,45
20191,1123000068,06,2541806,91505028,36
20191,1123000069,03,1479151,11833204,8
20191,1123000070,07,3321319,269026820,81
