STDR_YYQU_CD,SUD_CD,RENT_FLOOR_CD,GTN_AVRG,MT_RNTCHRG_AVRG,CNVRSN_RNTCHRG,RENT_CO
20191,1123000001,00,525564,52556,57812,1
20191,1123000001,02,525564,52556,57812,1
20191,1123000004,00,299054,29027,32018,2
20191,1123000004,02,299054,29027,32018,2
20191,1123000005,00,2998458,187404,217388,1
20191,1123000005,01,2998458,187404,217388,1
20191,1123000012,00,1502636,125220,140246,1
20191,1123000012,01,1502636,125220,140246,1
20191,1123000014,00,2401308,44024,68037,1
20191,1123000014,01,2401308,44024,68037,1
20191,1123000015,00,0,165290,165290,1
20191,1123000015,01,0,165290,165290,1
20191,1123000018,00,5509667,440773,495870,1
20191,1123000018,01,5509667,440773,495870,1
20191,1123000022,00,775580,108665,116420,2
20191,1123000022,01,1334329,197814,211158,1
20191,1123000022,02,216831,19515,21683,1
20191,1123000027,00,806293,80629,88692,1
20191,1123000027,01,806293,80629,88692,1
20191,1123000029,00,3506152,125220,160281,1
20191,1123000029,01,3506152,125220,160281,1
20191,1123000035,00,330580,33058,36364,1
20191,1123000035,02,330580,33058,36364,1
20191,1123000037,00,683017,48722,55552,2
20191,1123000037,01,1001758,70123,80141,1
20191,1123000037,02,364275,27321,30963,1
20191,1123000044,00,423821,29667,33906,1
20191,1123000044,02,423821,29667,33906,1
20191,1123000050,00,1249358,112442,124936,1
20191,1123000050,01,1249358,112442,124936,1
20191,1123000054,00,672131,36819,43540,2
20191,1123000054,02,672131,36819,43540,2
20191,1123000055,00,715541,78710,85865,1
20191,1123000055,01,715541,78710,85865,1
20191,1123000057,00,1903339,160532,179565,2
20191,1123000057,01,3305800,198348,231406,1
20191,1123000057,02,500879,122715,127724,1
20191,1123000059,00,1101933,110193,121213,1
20191,1123000059,02,1101933,110193,121213,1
20191,1123000064,00,992802,74995,84923,2
20191,1123000064,01,992802,74995,84923,2
20191,1123000073,00,435547,17422,21777,1
20191,1123000073,02,435547,17422,21777,1
20191,1123000074,00,553921,16618,22157,1
20191,1123000074,02,553921,16618,22157,1
20191,1123000078,00,1271462,108074,120789,1
20191,1123000078,01,1271462,108074,120789,1
20191,1123000090,00,601055,40070,46081,2
20191,1123000090,01,601055,40070,46081,2
20191,1123000101,00,307699,39386,42463,1
20191,1123000101,02,307699,39386,42463,1
20191,1123000104,00,2760200,64405,92007,1
20191,1123000104,02,2760200,64405,92007,1
20191,1123000121,00,1271462,89002,101717,1
20191,1123000121,01,1271462,89002,101717,1
20191,1123000130,00,471199,50486,55198,1
20191,1123000130,01,471199,50486,55198,1
20191,1123000133,00,940130,67601,77003,2
20191,1123000133,01,1652900,110193,126722,1
20191,1123000133,02,227359,25009,27283,1
20191,1123000134,00,1202109,80141,92162,1
20191,1123000134,01,1202109,80141,92162,1
20191,1123000139,00,2560367,131676,157280,1
20191,1123000139,01,2560367,131676,157280,1
20191,1123000142,00,862233,62081,70703,1
20191,1123000142,02,862233,62081,70703,1
20191,1123000148,00,0,16529,16529,1
20191,1123000148,01,0,16529,16529,1
20191,1123000150,00,991740,99174,109091,1
20191,1123000150,01,991740,99174,109091,1
20191,1123000156,00,1836556,110193,128559,1
20191,1123000156,01,1836556,110193,128559,1
20191,1123000157,00,2203867,88155,110193,1
20191,1123000157,01,2203867,88155,110193,1
20191,1123000159,00,870493,58551,67256,2
20191,1123000159,01,870493,58551,67256,2
20191,1123000167,00,250439,12522,15026,1
20191,1123000167,02,250439,12522,15026,1
20191,1123000172,00,477624,35715,40492,2
20191,1123000172,02,477624,35715,40492,2
20191,1123000173,00,550967,40404,45914,1
20191,1123000173,01,550967,40404,45914,1
20191,1123000174,00,1322320,132232,145455,1
20191,1123000174,01,1322320,132232,145455,1
20191,1123000188,00,333919,13357,16696,1
20191,1123000188,01,333919,13357,16696,1
20191,1123000204,00,726549,47226,54491,1
20191,1123000204,02,726549,47226,54491,1
20191,1123000211,00,2955246,293771,323323,2
20191,1123000211,02,2955246,293771,323323,2
20191,1123000214,00,616198,113166,119328,6
20191,1123000214,01,974787,83916,93664,2
20191,1123000214,02,257610,142415,144991,4
20191,1123000216,00,321387,31768,34982,2
20191,1123000216,02,321387,31768,34982,2
20191,1123000217,00,834798,75132,83480,1
20191,1123000217,02,834798,75132,83480,1
20191,1123000221,00,1047748,98697,109174,2
20191,1123000221,01,879904,87990,96789,1
20191,1123000221,02,1215591,109403,121559,1
20191,1123000225,00,463313,41823,46457,2
20191,1123000225,01,100176,17531,18533,1
20191,1123000225,02,826450,66116,74381,1
20191,1123000227,00,2003515,73462,93497,1
20191,1123000227,01,2003515,73462,93497,1
20191,1123000235,00,3601089,252076,288087,1
20191,1123000235,01,3601089,252076,288087,1
20191,1123000236,00,330580,27548,30854,1
20191,1123000236,01,330580,27548,30854,1
20191,1123000237,00,47910,119775,120254,1
20191,1123000237,01,47910,119775,120254,1
20191,1123000247,00,606772,53393,59461,2
20191,1123000247,01,784220,70580,78422,1
20191,1123000247,02,429325,36206,40500,1
20191,1123000248,00,1502636,77636,92663,1
20191,1123000248,01,1502636,77636,92663,1
20191,1123000254,00,807953,52487,60567,3
20191,1123000254,01,1500909,93474,108483,2
20191,1123000254,02,114998,11500,12650,1
20191,1123000257,00,1210916,60546,72655,1
20191,1123000257,01,1210916,60546,72655,1
20191,1123000263,00,1249358,81208,93702,1
20191,1123000263,01,1249358,81208,93702,1
20191,1123000267,00,1302522,73810,86835,1
20191,1123000267,01,1302522,73810,86835,1
20191,1123000268,00,437854,26271,30650,1
20191,1123000268,02,437854,26271,30650,1
20191,1123000282,00,1101933,110193,121213,1
20191,1123000282,02,1101933,110193,121213,1
20191,1123000284,00,3443542,0,34435,1
20191,1123000284,01,3443542,0,34435,1
20191,1123000285,00,637816,44647,51025,1
20191,1123000285,01,637816,44647,51025,1
20191,1123000297,00,185199,11112,12964,1
20191,1123000297,02,185199,11112,12964,1
20191,1123000311,00,1110820,111082,122190,1
20191,1123000311,01,1110820,111082,122190,1
20191,1123000313,00,1157501,76067,87642,4
20191,1123000313,01,1218863,66009,78198,3
20191,1123000313,02,1096139,86125,97087,1
20191,1123000318,00,1180643,53129,64935,1
20191,1123000318,01,1180643,53129,64935,1
