STDR_YYQU_CD,SUD_CD,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO,RELM_AR
20191,1123000001,293,88,205,0,22,40,62,91,78,0,9,9,20,17,33,0,13,31,42,74,45,4017.03275138
20191,1123000002,27,13,14,0,3,11,6,5,2,0,2,6,2,1,2,0,1,5,4,4,0,4030.88106728
20191,1123000003,15,9,6,0,2,2,5,4,2,0,2,2,2,2,1,0,0,0,3,2,1,2781.85755149
20191,1123000004,842,341,501,6,114,125,274,192,131,1,65,62,70,70,73,5,49,63,204,122,58,3286.03019847
20191,1123000005,215,119,96,2,66,53,58,22,14,1,22,32,35,16,13,1,44,21,23,6,1,6411.81232975
20191,1123000006,7,2,5,0,0,2,3,1,1,0,0,1,0,0,1,0,0,1,3,1,0,1289.78300619
20191,1123000007,27,25,2,0,3,6,7,7,4,0,3,6,7,6,3,0,0,0,0,1,1,4301.33006743
20191,1123000008,45,17,28,0,7,7,9,10,12,0,0,5,2,7,3,0,7,2,7,3,9,3931.99356818
20191,1123000009,7,3,4,0,1,2,2,1,1,0,1,1,1,0,0,0,0,1,1,1,1,4445.76321809
20191,1123000011,12,9,3,0,0,2,5,1,4,0,0,2,3,1,3,0,0,0,2,0,1,863.443235781
20191,1123000012,32,23,9,0,5,7,7,8,5,0,3,6,7,5,2,0,2,1,0,3,3,6062.06191538
20191,1123000013,2,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1035.68562879
20191,1123000014,4,3,1,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0,0,1,0,2203.81881846
20191,1123000015,6,4,2,0,0,1,2,2,1,0,0,0,2,1,1,0,0,1,0,1,0,2393.8773718
20191,1123000016,9,6,3,0,0,4,2,1,2,0,0,3,2,0,1,0,0,1,0,1,1,1736.94682479
20191,1123000017,30,18,12,0,6,12,6,6,0,0,4,6,4,4,0,0,2,6,2,2,0,2824.91954045
20191,1123000018,40,20,20,0,1,7,7,11,14,0,0,1,4,3,12,0,1,6,3,8,2,6616.95583478
20191,1123000019,4,4,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3277.67085021
20191,1123000020,3,3,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2175.39408638
20191,1123000021,9,8,1,0,1,1,2,3,2,0,0,1,2,3,2,0,1,0,0,0,0,5430.30601674
20191,1123000022,87,39,48,0,5,9,25,34,14,0,3,6,13,10,7,0,2,3,12,24,7,5528.57732009
20191,1123000023,8,7,1,0,0,2,3,2,1,0,0,2,3,2,0,0,0,0,0,0,1,840.798748147
20191,1123000024,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2048.15282661
20191,1123000026,19,13,6,0,5,5,7,1,1,0,4,3,5,0,1,0,1,2,2,1,0,3915.09617768
20191,1123000027,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2555.75910236
20191,1123000029,147,94,53,1,12,34,44,41,15,0,3,19,34,28,10,1,9,15,10,13,5,7199.08930214
20191,1123000031,16,13,3,0,0,5,3,3,5,0,0,4,3,2,4,0,0,1,0,1,1,1903.20900952
20191,1123000033,3,3,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1491.58486878
20191,1123000034,31,23,8,0,2,8,11,6,4,0,1,6,8,5,3,0,1,2,3,1,1,6220.61213951
