SUD_CD,SUD_NM,ADSTRD_CD,ADSTRD_NM,SIGNGU_CD,SIGNGU_NM,TRDAR_SE_CD,TRDAR_SE_NM,TRDAR_NO,TRDAR_NM
1123000009,답십리1동_SE_039,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000011,답십리1동_SE_035,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000014,답십리1동_SE_031,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000015,답십리1동_SE_032,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000021,답십리1동_ES_026,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000024,답십리1동_ES_025,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000027,답십리1동_ES_024,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000047,답십리1동_SE_008,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000050,답십리1동_SE_007,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000051,답십리1동_SE_006,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000052,답십리1동_ES_019,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000054,답십리1동_ES_022,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000056,답십리1동_SE_004,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000059,답십리1동_SE_005,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000061,답십리1동_SE_003,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000062,답십리1동_SW_005,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000064,답십리1동_ES_017,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000065,답십리1동_ES_016,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000068,답십리1동_SW_004,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000069,답십리1동_ES_013,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000073,답십리1동_ES_011,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
1123000076,답십리1동_SW_002,11230600,답십리1동,11230,동대문구,A,골목상권,3110209,답십리 장령당공원
1123000077,답십리1동_ES_006,11230600,답십리1동,11230,동대문구,A,골목상권,3110212,답십리초등학교
